省,项目名称，项目对应省
shanghai1,8,广东,19,26,18,14,14
sichuan1,7,湖南,18,27,19,14,14
beijing1,7,湖南,13,19,15,10,10
chongqing1,8,广东,0,0,0,0,0
guangdong1,8,广东,0,0,0,0,0
jilin1,7,湖南,15,15,16,11,10
tianjing1,7,湖南,17,26,17,13,12
fujian1,7,湖南,15,12,12,10,12
guizhou1,8,广东,18,28,19,15,15
jiangsu1,8,广东,15.3,22,16,11,12
shandong1,7,湖南,20,29,19,15,15
gansu1,8,广东,20,29,20,15,15
anhui1,8,广东,17,21,17,14,12
liaoning1,8,广东,16,23,18,11,13
hubei1,7,湖南,17,24,17,13,15
zhejiang1,7,湖南,17,23,16,13,12
jiangxi1,7,湖南,18,27,18,13,12
hunan1,8,广东,20,30,20,10,14
henan1,8,广东,19,27,17,14,14
yunnan1,7,湖南,20,18,15,10,10
shanghai1,9,天津,18,25,18,13,14
fujian1,8,广东,16,22,16,12,12
guangdong1,9,天津,17,22,16,12,11
tianjing1,8,广东,15,24,19,13,14
sichuan1,8,广东,18,28,18,15,14
chongqing1,9,天津,0,0,0,0,0
beijing1,8,广东,14,21,16,11,11
jilin1,8,广东,18,20,18,13,12
zhejiang1,8,广东,16,23,16,12,13
yunnan1,8,广东,20,25,15,15,15
gansu1,9,天津,20,29,20,14,14
shandong1,8,广东,19,26,18,14,13
jilin1,9,天津,10,11,11,11,10
tianjing1,9,天津,0,0,0,0,0
guizhou1,9,天津,15,22,16,14,12
hubei1,8,广东,18,28,18,14,15
shanghai1,10,山东,19,27,17,14,13
henan1,9,天津,17,25,19,14,13
jiangxi1,8,广东,18,26,17,15,12
fujian1,9,天津,16,18,14,12,9
jiangsu1,9,天津,14.2,21,15,11,11
sichuan1,9,天津,18,27,18,15,14
beijing1,9,天津,13,19,15,10,10
anhui1,9,天津,15,20,19,11,10
hunan1,9,天津,20,25,15,15,14
chongqing1,10,山东,0,0,0,0,0
liaoning1,9,天津,15,15,15,12,12
guangdong1,10,山东,18,24,16,13,12
yunnan1,9,天津,20,18,15,10,5
zhejiang1,9,天津,15,22,15,12,11
beijing1,10,山东,14,20,15,10,10
jiangsu1,10,山东,15.1,22,16,11,12
gansu1,10,山东,20,29,20,14,15
shanghai1,11,湖南,17,22,18,13,13
sichuan1,10,山东,19,28,19,14,15
liaoning1,10,山东,16,18,15,10,13
jilin1,10,山东,12,19,11,10,11
shandong1,9,天津,18,28,18,14,14
henan1,10,山东,15,24,18,13,14
jiangxi1,9,天津,18,25,17,13,12
fujian1,10,山东,18,24,15,12,12
tianjing1,10,山东,15,26,18,13,14
hubei1,9,天津,20,26,18,14,15
chongqing1,11,湖南,0,0,0,0,0
hunan1,10,山东,20,30,15,15,10
guizhou1,10,山东,17,27,18,13,14
guangdong1,11,湖南,18,24,16,13,12
zhejiang1,10,山东,18,25,14,14,11
yunnan1,10,山东,20,20,18,10,15
anhui1,10,山东,16,21,18,14,12
jiangsu1,11,湖南,15.8,21,16,12,11
fujian1,11,湖南,15,16,16,12,12
henan1,11,湖南,18,25,17,13,13
hunan1,11,湖南,0,0,0,0,0
shandong1,10,山东,0,0,0,0,0
chongqing1,12,安徽,0,0,0,0,0
gansu1,11,湖南,20,29,20,15,14
guangdong1,12,安徽,17,22,15,11,11
anhui1,11,湖南,17,22,18,13,13
jiangxi1,10,山东,18,28,20,13,13
beijing1,11,湖南,17,20,15,11,12
yunnan1,11,湖南,20,15,15,10,10
shanghai1,12,安徽,18,26,18,14,14
hubei1,10,山东,16,23,17,13,15
tianjing1,11,湖南,16,24,18,14,13
guizhou1,11,湖南,15,20,17,13,15
sichuan1,11,湖南,18,26,19,14,14
zhejiang1,11,湖南,18,24,16,14,11
liaoning1,11,湖南,17,15,15,10,13
jilin1,11,湖南,13,10,10,10,12
jiangsu1,12,安徽,14.9,22,16,11,12
shandong1,11,湖南,20,29.5,19.5,15,15
henan1,12,安徽,14,25,17,13,13
chongqing1,13,广东,0,0,0,0,0
jiangxi1,11,湖南,20,25,18,13,14
anhui1,12,安徽,0,0,0,0,0
beijing1,12,安徽,14,20,15,10,10
zhejiang1,12,安徽,15,23,16,14,10
guangdong1,13,广东,0,0,0,0,0
jilin1,12,安徽,11,16,11,12,9
hunan1,12,安徽,20,26,15,15,10
guizhou1,12,安徽,14,20,16,13,14
fujian1,12,安徽,16,18,15,10,10
yunnan1,12,安徽,15,20,15,10,10
hubei1,11,湖南,20,25,18,14,15
shanghai1,13,广东,19,27,18,13,14
gansu1,12,安徽,20,29,20,14,15
liaoning1,12,安徽,15,20,16,11,12
tianjing1,12,安徽,14,23,18,13,8
jiangsu1,13,广东,14.4,21,15,12,11
sichuan1,12,安徽,18,28,19,15,15
jiangxi1,12,安徽,18,20,20,13,14
shandong1,12,安徽,18,25,17,14,13
chongqing1,14,安徽,0,0,0,0,0
henan1,13,广东,13,22,16,13,12
anhui1,13,广东,17,20,15,11,10
shanghai1,14,安徽,18,25,18,13,14
beijing1,13,广东,14,21,15,9,11
zhejiang1,13,广东,17,24,15,11,12
yunnan1,13,广东,20,30,15,13,13
fujian1,13,广东,18,24,15,12,10
hubei1,12,安徽,16,24,18,13,15
tianjing1,13,广东,14,24,17,12,13
anhui1,14,安徽,0,0,0,0,0
shandong1,13,广东,17,26,16,12,12
henan1,14,安徽,15,24,16,12,13
sichuan1,13,广东,17,28,19,14,15
guangdong1,14,安徽,16,23,15,12,11
jiangxi1,13,广东,20,26,18,13,13
guizhou1,13,广东,18,27,18,14,13
hunan1,13,广东,15,30,20,10,10
jilin1,13,广东,18,16,18,12,12
gansu1,13,广东,20,29,20,15,14
jiangsu1,14,安徽,14,21,15,11.1,12
liaoning1,13,广东,18,25,16,13,13
chongqing1,15,福建,0,0,0,0,0
yunnan1,14,安徽,20,15,15,10,10
tianjing1,14,安徽,17,24,17,13,10
hubei1,13,广东,20,28,18,14,15
shanghai1,15,福建,17,27,18,13,13
fujian1,14,安徽,15,15,15,12,12
beijing1,14,安徽,15,20,15,10,10
zhejiang1,14,安徽,17,23,16,12,10
hunan1,14,安徽,18,30,20,15,10
anhui1,15,福建,17,22,17,12,11
jilin1,14,安徽,11,11,11,12,9
henan1,15,福建,14,25,16,11,13
guizhou1,14,安徽,19,23,17,13,15
shandong1,14,安徽,18,25,18,13.5,13
guangdong1,15,福建,18,24,16,12,12
chongqing1,16,广东,0,0,0,0,0
jiangxi1,14,安徽,18,25,18,14,12
gansu1,14,安徽,20,29,20,14,14
sichuan1,14,安徽,18,26,19,14,15
jiangsu1,15,福建,13.4,22,15,11,12
liaoning1,14,安徽,17,16,16,12,13
jilin1,15,福建,11,14,11,12,9
zhejiang1,15,福建,13,18,10,10,9
hunan1,15,福建,20,30,15,15,10
hubei1,14,安徽,18,25,18,13,15
fujian1,15,福建,0,0,0,0,0
yunnan1,15,福建,20,15,15,10,5
tianjing1,15,福建,18,27,18,14,12
shanghai1,16,广东,18,26,18,13,14
beijing1,15,福建,14,19,15,10,9
shandong1,15,福建,15,24,17,11,11
sichuan1,15,福建,18,26,19,15,15
jiangxi1,15,福建,18,24,19,13,12
henan1,16,广东,18,24,16,12,13
guizhou1,15,福建,15,24,15,13,15
chongqing1,17,安徽,0,0,0,0,0
guangdong1,16,广东,0,0,0,0,0
anhui1,16,广东,15,22,14,10,10
jiangsu1,16,广东,13.3,21,16,12,11
gansu1,15,福建,20,29,20,14,14
fujian1,16,广东,14,14,12,10,12
jilin1,16,广东,11,16,13,12,9
shanghai1,17,安徽,18,25,18,14,14
yunnan1,16,广东,15,25,10,15,10
zhejiang1,16,广东,16,22,16,13,11
hubei1,15,福建,18,24,18,13,15
beijing1,16,广东,15,21,14,10,10
hunan1,16,广东,20,29,20,10,10
tianjing1,16,广东,18,28,18,15,14
liaoning1,15,福建,17,16,15,12,12
shandong1,16,广东,16,23,16,14,12
anhui1,17,安徽,0,0,0,0,0
jiangxi1,16,广东,20,25,19,14,13
jilin1,17,安徽,11,21,12,13,9
guizhou1,16,广东,16,26,16,15,15
tianjing1,17,安徽,13,23,19,12,15
henan1,17,安徽,19,26,18,14,14
fujian1,17,安徽,18,24,16,12,12
